SuspectID,Name,Age,Gender,Address,Phone,Email,PreviousRecord,DOB,ThreatLevel
1,Timothy Tran,54,Male,"82704 Patricia Points
North Christopherstad, WY 28473",792.370.6298x741,denisesmith@yahoo.com,No,2006-12-27,Medium
2,Jessica Velez,23,Female,"9923 Gutierrez Hollow
Booneside, OR 21907",(340)007-2185x510,lozanodavid@yahoo.com,Yes,1977-12-20,High
3,Sharon Davies,59,Other,"USNV Armstrong
FPO AE 90670",077-817-8220x3878,kristen16@hotmail.com,Yes,1977-09-17,Medium
4,Brent Johnson,48,Other,"122 Caleb Garden
New Ericachester, AZ 42821",(289)337-3126,melissacarr@yahoo.com,Yes,1959-12-25,Low
5,Karen Ashley,63,Female,"PSC 7005, Box 3951
APO AE 46860",+1-567-603-6914x308,hfry@gmail.com,No,2000-06-23,High
6,Christine Leon,57,Female,"6091 Foster Locks
Adamview, MN 99614",+1-972-514-5840x45626,joshua96@yahoo.com,Yes,1994-03-09,High
7,Charles Jordan,39,Male,"774 Smith Points Apt. 713
Lake Jeffery, SD 60106",+1-194-844-8282,kadams@hotmail.com,No,1968-08-12,Low
8,Joseph Smith,19,Male,"368 Farmer Stream Suite 292
Lake Brianland, SD 74701",+1-776-471-7703x196,tgoodwin@hotmail.com,No,2002-07-17,High
9,Michael Pugh,32,Other,"94278 Desiree Vista
New Jeffrey, TN 99650",+1-155-863-3113x0107,johnsonmarcus@wagner.com,Yes,1992-11-04,Medium
10,Amy Harris,50,Female,"USNV Sampson
FPO AE 16386",(903)364-4467x6405,haleymartin@gmail.com,No,1997-04-02,Low
11,Gary Benton,48,Male,"PSC 1735, Box 4497
APO AP 10154",(670)620-7986,nbarber@kelly.com,No,1993-06-13,Low
12,Todd Ponce,55,Other,"03277 Miller Grove
Josephmouth, RI 63830",111.146.1140,sharding@ferguson-stokes.com,Yes,1996-10-14,Medium
13,Eric Oconnor,51,Male,"Unit 4458 Box 5719
DPO AE 75085",086-160-0447,yballard@white-james.org,Yes,1975-02-07,Medium
14,Lisa Gomez,47,Other,"326 Brittany Cliffs
Simpsonport, IL 70755",023.316.4224,connor96@hicks.org,Yes,1990-07-24,High
15,Lauren Schaefer,20,Male,"1588 Maynard Springs
East Jason, WI 21618",+1-588-324-7642x3483,wheelermichael@yahoo.com,Yes,1991-07-31,Medium
16,Stephanie Gonzalez,45,Female,"408 Zachary Ford Suite 532
Vaughnton, NV 73207",001-169-489-0313,timothyguzman@nelson.info,Yes,1978-08-25,High
17,Mackenzie Kennedy,63,Female,"318 Hopkins Terrace Apt. 176
West Geoffreytown, KY 86654",444-803-3269,connie43@rogers.org,Yes,1996-02-04,Low
18,Samantha Davis,21,Female,"02486 Stacey Path Apt. 298
Melissaport, CO 91256",+1-548-622-5395x737,rdavis@bonilla-collins.com,Yes,1982-12-08,Medium
19,Mark Reese,37,Female,"61084 Brown Harbors Apt. 694
Port Johnfurt, ID 38547",(048)273-2880x76829,pollardmelvin@ray.info,Yes,1963-08-14,Low
20,Jacob Soto,28,Other,"88285 Fowler Extensions Apt. 999
New Eugene, AZ 41130",(942)600-2713x4753,claytonwhite@yahoo.com,Yes,1987-12-08,Low
21,Raymond Rogers,28,Male,"3340 Lauren Pike Apt. 642
Maryfort, LA 03726",4232334681,lauren62@gmail.com,Yes,1966-06-19,High
22,Stephanie David,42,Male,"4841 John Knolls Apt. 878
Lake John, AL 64757",844-992-3597,nicholslindsey@conley-lopez.com,No,1968-04-01,Medium
23,Douglas Bradley,21,Other,"216 Wallace Knoll
Greenhaven, CA 21859",+1-943-444-8022,angelaortiz@solis.com,Yes,1989-07-20,Low
